regime,model,size,arm,favorable_corner,makespan
E1_c2,abstraction,4,random,HC_HI,160.0
E1_c2,abstraction,4,random,HC_HI,100.0
E1_c2,abstraction,4,random,HC_HI,136.0
E1_c2,abstraction,4,random,HC_HI,155.0
E1_c2,abstraction,4,random,HC_HI,131.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,131.0
E1_c2,abstraction,4,random,HC_HI,111.0
E1_c2,abstraction,4,random,HC_HI,135.0
E1_c2,abstraction,4,random,HC_HI,96.0
E1_c2,abstraction,4,random,HC_HI,115.0
E1_c2,abstraction,4,random,HC_HI,155.0
E1_c2,abstraction,4,random,HC_HI,116.0
E1_c2,abstraction,4,random,HC_HI,150.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,156.0
E1_c2,abstraction,4,random,HC_HI,130.0
E1_c2,abstraction,4,random,HC_HI,96.0
E1_c2,abstraction,4,random,HC_HI,53.0
E1_c2,abstraction,4,random,HC_HI,91.0
E1_c2,abstraction,4,random,HC_HI,77.0
E1_c2,abstraction,4,random,HC_HI,140.0
E1_c2,abstraction,4,random,HC_HI,111.0
E1_c2,abstraction,4,random,HC_HI,136.0
E1_c2,abstraction,4,random,HC_HI,107.0
E1_c2,abstraction,4,random,HC_HI,97.0
E1_c2,abstraction,4,random,HC_HI,120.0
E1_c2,abstraction,4,random,HC_HI,111.0
E1_c2,abstraction,4,random,HC_HI,107.0
E1_c2,abstraction,4,random,HC_HI,111.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,140.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,120.0
E1_c2,abstraction,4,random,HC_HI,111.0
E1_c2,abstraction,4,random,HC_HI,97.0
E1_c2,abstraction,4,random,HC_HI,126.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,78.0
E1_c2,abstraction,4,random,HC_HI,126.0
E1_c2,abstraction,4,random,HC_HI,125.0
E1_c2,abstraction,4,random,HC_HI,130.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,110.0
E1_c2,abstraction,4,random,HC_HI,125.0
E1_c2,abstraction,4,random,HC_HI,62.0
E1_c2,abstraction,4,random,HC_HI,120.0
E1_c2,abstraction,4,random,HC_HI,151.0
E1_c2,abstraction,4,random,HC_HI,135.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,116.0
E1_c2,abstraction,4,random,HC_HI,146.0
E1_c2,abstraction,4,random,HC_HI,116.0
E1_c2,abstraction,4,random,HC_HI,111.0
E1_c2,abstraction,4,random,HC_HI,102.0
E1_c2,abstraction,4,random,HC_HI,96.0
E1_c2,abstraction,4,random,HC_HI,120.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,100.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,85.0
E1_c2,abstraction,4,random,HC_HI,116.0
E1_c2,abstraction,4,random,HC_HI,120.0
E1_c2,abstraction,4,random,HC_HI,120.0
E1_c2,abstraction,4,random,HC_HI,92.0
E1_c2,abstraction,4,random,HC_HI,125.0
E1_c2,abstraction,4,random,HC_HI,130.0
E1_c2,abstraction,4,random,HC_HI,130.0
E1_c2,abstraction,4,random,HC_HI,140.0
E1_c2,abstraction,4,random,HC_HI,140.0
E1_c2,abstraction,4,random,HC_HI,116.0
E1_c2,abstraction,4,random,HC_HI,165.0
E1_c2,abstraction,4,random,HC_HI,91.0
E1_c2,abstraction,4,random,HC_HI,155.0
E1_c2,abstraction,4,random,HC_HI,125.0
E1_c2,abstraction,4,random,HC_HI,125.0
E1_c2,abstraction,4,random,HC_HI,135.0
E1_c2,abstraction,4,random,HC_HI,107.0
E1_c2,abstraction,4,random,HC_HI,96.0
E1_c2,abstraction,4,random,HC_HI,106.0
E1_c2,abstraction,4,random,HC_HI,155.0
E1_c2,abstraction,4,random,HC_HI,155.0
E1_c2,abstraction,4,random,HC_HI,101.0
E1_c2,abstraction,4,random,HC_HI,116.0
E1_c2,abstraction,4,random,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,82.0
E1_c2,abstraction,4,HC_HI,HC_HI,115.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,155.0
E1_c2,abstraction,4,HC_HI,HC_HI,106.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,115.0
E1_c2,abstraction,4,HC_HI,HC_HI,175.0
E1_c2,abstraction,4,HC_HI,HC_HI,76.0
E1_c2,abstraction,4,HC_HI,HC_HI,106.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,141.0
E1_c2,abstraction,4,HC_HI,HC_HI,136.0
E1_c2,abstraction,4,HC_HI,HC_HI,110.0
E1_c2,abstraction,4,HC_HI,HC_HI,91.0
E1_c2,abstraction,4,HC_HI,HC_HI,146.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,81.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,96.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,170.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,170.0
E1_c2,abstraction,4,HC_HI,HC_HI,140.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,82.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,175.0
E1_c2,abstraction,4,HC_HI,HC_HI,91.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,86.0
E1_c2,abstraction,4,HC_HI,HC_HI,170.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,175.0
E1_c2,abstraction,4,HC_HI,HC_HI,87.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,141.0
E1_c2,abstraction,4,HC_HI,HC_HI,170.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,140.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,145.0
E1_c2,abstraction,4,HC_HI,HC_HI,92.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,140.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,140.0
E1_c2,abstraction,4,HC_HI,HC_HI,170.0
E1_c2,abstraction,4,HC_HI,HC_HI,190.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,150.0
E1_c2,abstraction,4,HC_HI,HC_HI,140.0
E1_c2,abstraction,4,HC_HI,HC_HI,120.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,97.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,141.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,96.0
E1_c2,abstraction,4,HC_HI,HC_HI,155.0
E1_c2,abstraction,4,HC_HI,HC_HI,105.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,106.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,150.0
E1_c2,abstraction,4,HC_HI,HC_HI,155.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,150.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,126.0
E1_c2,abstraction,4,HC_HI,HC_HI,102.0
E1_c2,abstraction,4,HC_HI,HC_HI,150.0
E1_c2,abstraction,4,HC_HI,HC_HI,120.0
E1_c2,abstraction,4,HC_HI,HC_HI,136.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,121.0
E1_c2,abstraction,4,HC_HI,HC_HI,110.0
E1_c2,abstraction,4,HC_HI,HC_HI,110.0
E1_c2,abstraction,4,HC_HI,HC_HI,77.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,91.0
E1_c2,abstraction,4,HC_HI,HC_HI,146.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,145.0
E1_c2,abstraction,4,HC_HI,HC_HI,106.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,115.0
E1_c2,abstraction,4,HC_HI,HC_HI,131.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,140.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,170.0
E1_c2,abstraction,4,HC_HI,HC_HI,131.0
E1_c2,abstraction,4,HC_HI,HC_HI,100.0
E1_c2,abstraction,4,HC_HI,HC_HI,141.0
E1_c2,abstraction,4,HC_HI,HC_HI,145.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,96.0
E1_c2,abstraction,4,HC_HI,HC_HI,96.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,126.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,145.0
E1_c2,abstraction,4,HC_HI,HC_HI,145.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,155.0
E1_c2,abstraction,4,HC_HI,HC_HI,165.0
E1_c2,abstraction,4,HC_HI,HC_HI,106.0
E1_c2,abstraction,4,HC_HI,HC_HI,105.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,86.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,97.0
E1_c2,abstraction,4,HC_HI,HC_HI,150.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,87.0
E1_c2,abstraction,4,HC_HI,HC_HI,81.0
E1_c2,abstraction,4,HC_HI,HC_HI,86.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,86.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,91.0
E1_c2,abstraction,4,HC_HI,HC_HI,102.0
E1_c2,abstraction,4,HC_HI,HC_HI,126.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,145.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,110.0
E1_c2,abstraction,4,HC_HI,HC_HI,106.0
E1_c2,abstraction,4,HC_HI,HC_HI,106.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,120.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,102.0
E1_c2,abstraction,4,HC_HI,HC_HI,190.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,86.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,81.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,166.0
E1_c2,abstraction,4,HC_HI,HC_HI,170.0
E1_c2,abstraction,4,HC_HI,HC_HI,135.0
E1_c2,abstraction,4,HC_HI,HC_HI,140.0
E1_c2,abstraction,4,HC_HI,HC_HI,105.0
E1_c2,abstraction,4,HC_HI,HC_HI,145.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,175.0
E1_c2,abstraction,4,HC_HI,HC_HI,125.0
E1_c2,abstraction,4,HC_HI,HC_HI,92.0
E1_c2,abstraction,4,HC_HI,HC_HI,110.0
E1_c2,abstraction,4,HC_HI,HC_HI,68.0
E1_c2,abstraction,4,HC_HI,HC_HI,71.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,110.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,102.0
E1_c2,abstraction,4,HC_HI,HC_HI,105.0
E1_c2,abstraction,4,HC_HI,HC_HI,116.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,121.0
E1_c2,abstraction,4,HC_HI,HC_HI,131.0
E1_c2,abstraction,4,HC_HI,HC_HI,77.0
E1_c2,abstraction,4,HC_HI,HC_HI,111.0
E1_c2,abstraction,4,HC_HI,HC_HI,87.0
E1_c2,abstraction,4,HC_HI,HC_HI,175.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,160.0
E1_c2,abstraction,4,HC_HI,HC_HI,166.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,91.0
E1_c2,abstraction,4,HC_HI,HC_HI,121.0
E1_c2,abstraction,4,HC_HI,HC_HI,146.0
E1_c2,abstraction,4,HC_HI,HC_HI,175.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,96.0
E1_c2,abstraction,4,HC_HI,HC_HI,81.0
E1_c2,abstraction,4,HC_HI,HC_HI,130.0
E1_c2,abstraction,4,HC_HI,HC_HI,96.0
E1_c2,abstraction,4,HC_HI,HC_HI,97.0
E1_c2,abstraction,4,HC_HI,HC_HI,86.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,121.0
E1_c2,abstraction,4,HC_HI,HC_HI,101.0
E1_c2,abstraction,4,HC_HI,HC_HI,106.0
E1_c2,abstraction,4,HC_HI,HC_HI,87.0
E1_c2,abstraction,4,HC_LI,HC_HI,155.0
E1_c2,abstraction,4,HC_LI,HC_HI,96.0
E1_c2,abstraction,4,HC_LI,HC_HI,130.0
E1_c2,abstraction,4,HC_LI,HC_HI,105.0
E1_c2,abstraction,4,HC_LI,HC_HI,105.0
E1_c2,abstraction,4,HC_LI,HC_HI,125.0
E1_c2,abstraction,4,HC_LI,HC_HI,120.0
E1_c2,abstraction,4,HC_LI,HC_HI,96.0
E1_c2,abstraction,4,HC_LI,HC_HI,120.0
E1_c2,abstraction,4,HC_LI,HC_HI,155.0
E1_c2,abstraction,4,HC_LI,HC_HI,145.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,140.0
E1_c2,abstraction,4,HC_LI,HC_HI,106.0
E1_c2,abstraction,4,HC_LI,HC_HI,86.0
E1_c2,abstraction,4,HC_LI,HC_HI,150.0
E1_c2,abstraction,4,HC_LI,HC_HI,141.0
E1_c2,abstraction,4,HC_LI,HC_HI,126.0
E1_c2,abstraction,4,HC_LI,HC_HI,155.0
E1_c2,abstraction,4,HC_LI,HC_HI,110.0
E1_c2,abstraction,4,HC_LI,HC_HI,101.0
E1_c2,abstraction,4,HC_LI,HC_HI,165.0
E1_c2,abstraction,4,HC_LI,HC_HI,105.0
E1_c2,abstraction,4,HC_LI,HC_HI,120.0
E1_c2,abstraction,4,HC_LI,HC_HI,150.0
E1_c2,abstraction,4,HC_LI,HC_HI,155.0
E1_c2,abstraction,4,HC_LI,HC_HI,101.0
E1_c2,abstraction,4,HC_LI,HC_HI,145.0
E1_c2,abstraction,4,HC_LI,HC_HI,101.0
E1_c2,abstraction,4,HC_LI,HC_HI,140.0
E1_c2,abstraction,4,HC_LI,HC_HI,101.0
E1_c2,abstraction,4,HC_LI,HC_HI,140.0
E1_c2,abstraction,4,HC_LI,HC_HI,125.0
E1_c2,abstraction,4,HC_LI,HC_HI,115.0
E1_c2,abstraction,4,HC_LI,HC_HI,96.0
E1_c2,abstraction,4,HC_LI,HC_HI,121.0
E1_c2,abstraction,4,HC_LI,HC_HI,115.0
E1_c2,abstraction,4,HC_LI,HC_HI,155.0
E1_c2,abstraction,4,HC_LI,HC_HI,131.0
E1_c2,abstraction,4,HC_LI,HC_HI,111.0
E1_c2,abstraction,4,HC_LI,HC_HI,150.0
E1_c2,abstraction,4,HC_LI,HC_HI,130.0
E1_c2,abstraction,4,HC_LI,HC_HI,150.0
E1_c2,abstraction,4,HC_LI,HC_HI,116.0
E1_c2,abstraction,4,HC_LI,HC_HI,136.0
E1_c2,abstraction,4,HC_LI,HC_HI,96.0
E1_c2,abstraction,4,HC_LI,HC_HI,101.0
E1_c2,abstraction,4,HC_LI,HC_HI,145.0
E1_c2,abstraction,4,HC_LI,HC_HI,106.0
E1_c2,abstraction,4,HC_LI,HC_HI,135.0
E1_c2,abstraction,4,HC_LI,HC_HI,140.0
E1_c2,abstraction,4,HC_LI,HC_HI,106.0
E1_c2,abstraction,4,HC_LI,HC_HI,106.0
